source,source_type,destination,departure_times,route,distance,fare
web:swargate-bus-stand-time-table,html,Barshi,"06:15, 06:45, 07:00, 07:15, 07:45, 08:00, 08:15, 08:30, 08:45, 09:00, 09:30, 10:30, 10:45, 11:15, 11:15, 12:00, 12:15, 12:30, 13:00, 14:00, 14:15, 15:15, 16:30, 17:15, 18:00, ,","Yavat, Kurkumbh, Bhigvan, Indapur, Tembhurni, Kurduwadi, Shindre Railway Station",,
web:swargate-bus-stand-time-table,html,Beed,"9:30, 10:30,","Daund, Shrigaonda, Karjat, Patoda, Jamkhed",,
web:swargate-bus-stand-time-table,html,Belgaon / Belgaum,"8:00, 9:00, 10:15, 11:15, 23:30,","Kolhapur, Nipani, Sankeshwar",,
web:swargate-bus-stand-time-table,html,Bhayandar,"14:15,",–,,
web:swargate-bus-stand-time-table,html,Bhiwandi,"00:30, 1:45, 7:00, 10:00, 11:00, 11:30, 12:45, 13:00, 17:00,","Panvel, Thane / Kalyan",,
web:swargate-bus-stand-time-table,html,Bhoom,"7:00, 7:30, 8:15 via Ambhi, 9:15 via Bhogalgaon, 11:30,","Kurkumbh, Rashin, Karmala,",,
web:swargate-bus-stand-time-table,html,Bhor,"4:30, 5:30, 6:00, 6:45, 7:45, 8:00, 8:30, 9:15, 9:45, 10:15, 10:45, 11:00, 11:30, 12:00, 13:00, 13:30, 14:30, 15:30, 16:00, 17:00, 17:45, 18:30, 19:15, 20:15, 21:15, 22:30, 24:00,","Katraj, Gogalwadi, Bormal, Malvadi",,
web:swargate-bus-stand-time-table,html,Bhor – Non Stop,"8:00, 9:00, 10:00, 11:00, 12:00, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:30, 17:30, 18:30, 19:00, 20:00,",–,,
web:swargate-bus-stand-time-table,html,Bidar,"6:30, 7:30,","Indapur, Tembhurni, Mohol, Solapur, Naldurg, Jalkot, Umarga, Baswakalyan Bhalki",,
web:swargate-bus-stand-time-table,html,Boisar,"1:00, 6:15(Shivshahi), 7:30, 11:30, 12:15, 17:15 (Sleeper Seater), 18:45 (Shivshahi) 19:00(Sleeper Seater)","Chandani Chowk, Wakad, Panvel, Neru Turbhe, Thane Railway Station, Kapurbawdi, Varsova, Chinchoti, Vasai Fata, Nalasopara Fata, Virar Fata, Manor, Palghar, Umaroli",,
web:swargate-bus-stand-time-table,html,Borivali,"00:30, 01:00, 1:30, 3:30, 9:15, 10:15, 11:15, 11:45, 12:15, 13:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 20:30, 21:30, 22:30,","Panvel, Sion",,
web:swargate-bus-stand-time-table,html,Chandgad,"08:15,",–,,
web:swargate-bus-stand-time-table,html,Chiplun,"6:15, 7:15, 10:15, 12:15, 14:45, 22:30, 23:15,",via Satara,,
web:swargate-bus-stand-time-table,html,Dahanu,"11:15,","Panvel, Thane, Bhiwadi, Ambadi, Kudus, Wada, Vikramgad, Kasa",,
web:swargate-bus-stand-time-table,html,Dapoli,"7:00 Shivshahi, 7:45, 13:15, 13:30, 21:00 Sleeper,","Vanaj, Pirangut Ghat, Paud, Mulshi, Tamhini, Mangaon, Lonere, Mahad, Latvan",,
web:swargate-bus-stand-time-table,html,Devgad,"6:15, 20:45,",via Satara,,
web:swargate-bus-stand-time-table,html,Devrukh,"9:15, 21:15,",via Satara,,
web:swargate-bus-stand-time-table,html,Dharashiv,"00:30, 08:15, 09:15, 10:15, 11:30, 12:00, 13:00, 13:15, 14:30, 16:45, 18:00, 22:00, 23:00,","Kurkumbh, Indapur, Tembhurni, Barsh",,
web:swargate-bus-stand-time-table,html,Dhisar,"7:00, 16:45,",–,,
web:swargate-bus-stand-time-table,html,Dighanchi Atpadi,"11:30,",–,,
web:swargate-bus-stand-time-table,html,Diveagar,"12:30,",–,,
web:swargate-bus-stand-time-table,html,Gadhinglaj,"8:15, 14:45, 15:45, 16:45,",–,,
web:swargate-bus-stand-time-table,html,Ganapatipule,"08:30,",Jakadevi Mandir,,
web:swargate-bus-stand-time-table,html,Gangapur – Karnataka,"8:30, 9:15",via Solapur and via Pandharpur,,
web:swargate-bus-stand-time-table,html,Gargoti,"10:00, 11:00, 11:30, 12:00, 12:30, 13:30, 15:30, 16:00, 16:30, 23:30,",–,,
web:swargate-bus-stand-time-table,html,Gherdi,"10:15,",–,,
web:swargate-bus-stand-time-table,html,Ghol,"16:00,",–,,
web:swargate-bus-stand-time-table,html,Gondwale,"00:30, 7:15, 9:45, 11:30, 12:00, 12:30, 13:00, 13:30, 14:15, 15:15, 16:30,","Saswad, Jejuri, Nira, Lonand, Phaltan, Dahiwadi",,
web:swargate-bus-stand-time-table,html,Guhagar,"7:00, 8:15, 21:00, 21:30, 22:30,","Satara, Umbraj, Patan, Koyananagar, Chiplun, Pachad, Karul Fata",,
web:swargate-bus-stand-time-table,html,Gulbarga,"9:00, 10:00,","Indapur, Tembhurni, Mohol, Solapur, Akkalkot, Kadganchi",,
web:swargate-bus-stand-time-table,html,Hubali,"8:00, 9:00,",–,,
web:swargate-bus-stand-time-table,html,Hyderabad,"08:00,","Indapur, Tembhurni, Mohol, Solapur, Naldurg, Jalkot, Umarga, Humnabad, Zahirabad, Lingampalli,",,
web:swargate-bus-stand-time-table,html,Ichalkaranji,"07:15, 09:15, 10:15, 11:15, 12:45, 13:00, 14:00, 15:15, 17:30,","Katraj, Satara, Karad, Kasegaon, Path Naka, Wathar, Vadegaon, Hatkanangale",,
web:swargate-bus-stand-time-table,html,Jamkhandi,"5:30, 11:00,",–,,
web:swargate-bus-stand-time-table,html,Jamkhed,"5:45, 6:45, 7:45, 8:30, 9:30, 10:30, 12:00, 13:00, 14:00,","Shrigonda, Karjat,",,
web:swargate-bus-stand-time-table,html,Jat,"6:45, 7:00, 8:30, 9:30, 11:15, 12:15, 22:30, 24:00,","Satara, Karad, Kadegaon, Kadepur, Vit Khanapur, Nagaj,",,
web:swargate-bus-stand-time-table,html,Jawhar,"7:00, 11:30,","Nigadi, Lonavala, Panvel, Dombivali, Kalyan, Bhiwandi, Ambadi, Kudus, Wada, Vikramgad",,
web:swargate-bus-stand-time-table,html,Jyotiba,"7:45, 15:45,","Satara, Karad, Kolhapur",,
web:swargate-bus-stand-time-table,html,Kalamb,"8:15, 8:45, 9:30, 10:30, 12:30, 22:15, 23:00,","Kurkumbh, Indapur, Tembhurni, Barshi, Yermala",,
web:swargate-bus-stand-time-table,html,Kalyan (Shivshahi),"7:00, 11:30, 13:00, 13:15, 16:00, 16:30, 18:30, 22:30,",Panvel,,
web:swargate-bus-stand-time-table,html,Karad – Non Stop,"9:30, 10:30, 11:30, 12:30, 13:30, 14:30, 15:30, 16:30, 17:30, 18:30, 19:30, 20:30,",–,,
web:swargate-bus-stand-time-table,html,Karjagi Mashal,"21:00,",–,,
web:swargate-bus-stand-time-table,html,Karmala,"2:30, 5:30, 5:45, 6:00, 6:30, 7:00, 7:30, 7:45, 8:00, 8:15, 8:30, 8:45, 9:15, 11:00, 12:00, 12:30, 13:15, 14:00, 14:30, 15:15, 16:15, 18:15,","Hadapsar, Loni, Urali Kanchan, Yavat, Kurkumbh,",,
web:swargate-bus-stand-time-table,html,Kavthe Mahankal,"6:45, 7:45, 8:30, 9:15, 12:15, 13:45, 14:45, 15:45,","Satara, Karad, Kasegaon, Islampur, Sangli, Miraj,",,
web:swargate-bus-stand-time-table,html,Khed,"6:30, 7:45, 8:30, 9:50, 12:00, 15:30, 17:15, 21:30, 22:30, 23:30,","Route 1: Pirangut, Mulshi, Tamhini, Mangaon, Lonere, Mahad, Poladpur, Bharna Nak Route 2: Katraj, Pargaon Khandala, Wa Panchgani, Mahabaleshwar, Poladpur",,
web:swargate-bus-stand-time-table,html,Koregaon,"7:15, 9:00, 9:30, 10:00, 10:45, 11:15, 12:15, 12:45, 13:30, 15:45,",–,,
web:swargate-bus-stand-time-table,html,Kudal,"06:30,","Satara, Karad, Kolhapur, Radhanagari, Phonda, Kankavali, Oros",,
web:swargate-bus-stand-time-table,html,Kurduwadi,"11:15, 12:00, 13:45, 14:00,","Yavat, Kurkumbh, Bhigvan, Indapur, Tembhurni",,
web:swargate-bus-stand-time-table,html,Kurundwad,"04:15, 05:15, 06:15, 07:15, 08:15, 12:05, 14:15, 15:50, 16:15, 22:45, 23:15(Sleeper Seater)","Satara, Karad, Kasegaon, Islampur, Sangli, Jaisingpur, Narsobachi Wadi / Narsobawadi",,
web:swargate-bus-stand-time-table,html,Latur,"5:45, 8:30, 9:30, 10:30, 11:15, 12:15, 15:45, 23:00, 23:45 (Sleeper Seater),","Kurkumbh, Bhigvan, Tembhurni, Kurduwadi, Barshi, Yedshi,",,
web:swargate-bus-stand-time-table,html,Lavasa,"7:00, 12:30,",–,,
web:swargate-bus-stand-time-table,html,Mahabaleshwar,"00:15, 5:30, 6:15, 7:30, 8:30, 9:00, 9:30, 10:15, 10:30, 11:15, 12:30, 13:00, 14:30, 14:45, 15:15, 16:45, 17:15, 19:45,","Katraj, Shivapur, Kapurhol, Shirwal, Wai, Panchgani, Lingmala",,
web:swargate-bus-stand-time-table,html,Mahad,"05:30, 06:00, 06:30, 07:00, 07:30, 07:45, 08:00, 09:00, 09:45, 10:15, 11:00, 11:30, 12:00, 13:00, 13:30, 14:15, 15:15, 16:30, 17:15, 21:00, 21:30, 22:00, 23:30, 24:00,",Mangaon,,
web:swargate-bus-stand-time-table,html,Makhajan,"09:50,",–,,
web:swargate-bus-stand-time-table,html,Malkapur,"10:05, 12:30, 13:15,","Katraj, Pargaon Khandala, Bhuinj, Sata Umbraj, Karad, Kokrud",,
web:swargate-bus-stand-time-table,html,Malvan,"6:15, 7:30, 10:20,1 19:30, 21:00,","Satara, Karad, Kolhapur, Rankala, Radhanagari, Phonda, Kankavali, Kasa",,
web:swargate-bus-stand-time-table,html,Mandangad,"9:00, 10:15, 15:15, 15:45, 17:15,","Chandani Chowk, Paud, Pirangut, Mul Mangaon, Lonere, Latvan, Pimploli,",,
web:swargate-bus-stand-time-table,html,Mandhardevi,"11:15,",–,,
web:swargate-bus-stand-time-table,html,Mangalwedha,"00:30,0 6:30, 07:30, 07:45, 08:30, 09:00, 09:15, 09:30, 09:45, 10:15, 10:30, 11:15, 14:30, 15:30, 16:30, 17:30, 18:30, 19:45, 21:30, 22:30, 23:30,","Saswad, Jejuri, Nira, Lonand, Phaltan, Natepuete, Malshiras, Pandharpur,",,
web:swargate-bus-stand-time-table,html,Mhaswad,"00:30, 1:00, 11:30, 12:00,","Satara, Koregaon, Pusegaon, Vaduj, Dahivadi, Gondwale,",,
web:swargate-bus-stand-time-table,html,Miraj,"5:30, 6:45, 8:30, 11:00, 13:45, 14:30, 15:30, 16:30,","Satara, Karad, Kasegaon, Islampur, Sangli,",,
web:swargate-bus-stand-time-table,html,Mulund,"10:30, 20:30,",–,,
web:swargate-bus-stand-time-table,html,Mumbai,"00:30, 1:00, 1:15, 1:45, 2:15, 2:30, 3:00, 7:45, 8:00, 9:30, 10:15, 11:15, 11:30, 12:00, 12:15, 12:45, 13:00, 13:30, 13:45, 14:00, 14:45, 14:30, 15:00, 15:30, 16:00, 16:30, 17:15, 18:15, 18:30, 19:30, 20:00, 20:30, 21:15, 22:30, 23:30,","Panvel, Kalamboli, Neurl, Vashi Highw Sion, Dadar",,
web:swargate-bus-stand-time-table,html,Murud Janjira,"6:00, 7:30, 8:30, 13:45,","Chinchwad, Nigadi, Dehu Road, Lonav Khopoli Fata, Pen, Wadkhal, Poynad, Alibag, Akshi, Bagmala, Chaul Naka, Revdanda Kashid",,
web:swargate-bus-stand-time-table,html,Mutha Kondhur,"18:15,",–,,
web:swargate-bus-stand-time-table,html,Nalasopara,"7:45(Shivshahi), 14:00, 15:00, 17:50,","Panvel, Nerul, Turbhe, Thane Railway Station",,
web:swargate-bus-stand-time-table,html,Narangwadi,"7:00, 23:00,",–,,
web:swargate-bus-stand-time-table,html,Nashik – Electric Shivai,"5:00, 6:00, 7:00, 8:00, 9:00, 11:00, 12:00,","New Shivaji Nagar Pune, Nashik Fata, Bhosari, Chakan, Nashik Road, Dwarka",,
web:swargate-bus-stand-time-table,html,Nilanga,"6:00, 8:00, 9:30, 11:30, 22:00,","Kurkumbh, Bhigvan, Tembhurni, Kurduwadi, Barshi, Yedshi, Latur, Ausa",,
web:swargate-bus-stand-time-table,html,Nira,"7:15, 8:15, 8:30, 8:45, 9:00,","Saswad, Jejuri",,
web:swargate-bus-stand-time-table,html,Palghar,"6:00, 7:00, 9:00, 10:00(via Kalyan), 10:45, 11:30, 24:00,","Panvel, Thane",,
web:swargate-bus-stand-time-table,html,Palus,"7:15, 7:45, 8:45, 9:30, 10:30, 11:15, 11:45, 15:30,","Satara, Karad",,
web:swargate-bus-stand-time-table,html,Pandharpur,"00:30 1:30, 2:30, 5:00 to 23:30 on Every 15 to 30 Minutes,","Saswad, Jejuri, Nira, Lonand, Phaltan, Natepute, Malshiras, Velapur,",,
web:swargate-bus-stand-time-table,html,Panjim – Goa,"5:15, 6:15, 16:45, 19:45, 21:45,","Satara, Karad, Kolhapur, Kankavli, Oras Kudal, Sawantwadi, Banda, Mhapsa",,
web:swargate-bus-stand-time-table,html,Panshet,"9:30, 12:30, 15:45, 16:00,",–,,
web:swargate-bus-stand-time-table,html,Paranda,"5:45, 7:00, 7:30, 8:45, 9:15, 11:15, 12:30, 14:30,","Yavat, Kurkumbh, Bhigvan, Rashin, Karmala",,
web:swargate-bus-stand-time-table,html,Patgaon,"10:00, 23:30,","Saswad, Jejuri, Nira, Lonand",,
web:swargate-bus-stand-time-table,html,Phaltan,"9:15, 9:45, 11:00, 12:00, 12:15, 13:15, 13:30, 14:45, 16:15, 20:30, 22:00,",,,
web:swargate-bus-stand-time-table,html,Poladpur,"8:30, 14:30, 15:30,","Wai, Panchgani, Mahabaleshwar",,
web:swargate-bus-stand-time-table,html,Pole,"15:45,",–,,
web:swargate-bus-stand-time-table,html,Radhanagari,"6:30, 7:15, 12:30, 13:30,","Satara, Karad, Kolhapur",,
web:swargate-bus-stand-time-table,html,Rajapur via Kokrud,"20:30,","Satara, Karad, Kokrud, Malkapur, Sakharpa, Nanij Math, Hatkhamba, Ratnagiri, Pawas, Purnagad, Adivare,",,
web:swargate-bus-stand-time-table,html,Rajapur via Malkapur,"21:00,","Satara, Karad, Kokrud, Malkapur, Sakharpa, Nanij Math, Pali, Lanja",,
web:swargate-bus-stand-time-table,html,Rajapur via Pachal,"6:15, 9:15,","Satara, Karad, Kolhapur, Rankala, Pach",,
web:swargate-bus-stand-time-table,html,Ratnagiri,"5:45, 7:45, 8:30, 10:30, 21:00, 21:15,","Satara, Kolhapur, Malkapur, Sakharpa, Nanij, Pali, Hatkhamba",,
web:swargate-bus-stand-time-table,html,Roha via Khopoli,"6:30 via Pali, 16:15,","Chinchwad, Nigadi, Dehu Road, Lonav Khopoli, Pali, Nagothane,",,
web:swargate-bus-stand-time-table,html,Roha via Tamhini,"10:45,","Vanaj, Pirangut, Paud, Tamhini",,
web:swargate-bus-stand-time-table,html,Sakharwadi,"18:00,",–,,
web:swargate-bus-stand-time-table,html,Sangli,"10:15, 10:45, 11:15, 12:00, 12:30, 14:00, 14:30,","Satara, Karad, Kasegaon, Islampur",,
web:swargate-bus-stand-time-table,html,Sangola,"5:30, 6:30, 7:00, 10:15, 11:00, 11:15, 11:45, 12:15, 13:00, 14:15, 16:15, 17:45, 22:30,","Saswad, Jejuri, Nira, Lonand, Phaltan, Natepuete, Malshiras, Pandharpur, Manjari",,
web:swargate-bus-stand-time-table,html,Sawantwadi,"4:15, 21:20(Banda),","Satara, Umbraj, Karad, Kolhapur, Kagal Nippani, Uttur, Ajara, Amboli,",,
web:swargate-bus-stand-time-table,html,Shahapur,"13:00, 17:00,","Panvel, Thane, Bhiwandi",,
web:swargate-bus-stand-time-table,html,Shivtharghal,"07:30,",–,,
web:swargate-bus-stand-time-table,html,Shrigonda,"5:45, 6:45, 7:45, 8:30, 9:00, 9:30, 10:30, 10:45, 11:15, 11:30, 12:00, 12:30, 13:00, 14:00, 14:30, 15:30, 18:00,","Hadapsar, Kashti",,
web:swargate-bus-stand-time-table,html,Shrivardhan,"6:15, 14:15 via Tamhini,","Vanaj, Pirangut, Paud, Tamhini, Mangaon, Lonere, Mhasala,",,
web:swargate-bus-stand-time-table,html,Solapur,"5:30 to 22:30 on Every 1Hr,","Indapur, Tembhurni, Mohol",,
web:swargate-bus-stand-time-table,html,Tandli,"16:00,",–,,
web:swargate-bus-stand-time-table,html,Tasgaon,"06:45, 07:15, 7:45, 08:15, 09:15, 10:30, 12:30, 14:15, 15:45, 17:30, 18:20, 22:00, 23:30,","Satara, Karad, Palus",,
web:swargate-bus-stand-time-table,html,Telbail,"15:30,",–,,
web:swargate-bus-stand-time-table,html,Thane,"00:30, 9:15, 11:15, 12:45, 13:00, 13:30, 16:30, 17:00, 17:30, 18:00, 18:30, 22:00, 22:30,","Panvel, Kalamboli, Kharghar, Nerul, Turbhe,",,
web:swargate-bus-stand-time-table,html,Tivare,"20:45,",via Satara,,
web:swargate-bus-stand-time-table,html,Tuljapur,"5:00, 6:15, 7:00, 8:15, 9:45, 10:30, 11:30, 12:30, 13:45, 14:15, 17:00, 20:00, 20:30, 21:30, 23:00, 24:00,","Kurkumbh, Bhigvan, Tembhurni, Mohol, Solapur",,
web:swargate-bus-stand-time-table,html,Umarga,"01:00, 6:30, 7:30, 8:30, 9:30, 10:00, 11:15, 11:45, 12:15, 13:30, 18:00, 20:00, 22:00, 23:00,","Indapur, Tembhurni, Mohol, Solapur, Naldurg, Jalkot",,
web:swargate-bus-stand-time-table,html,Vaduj,"7:15, 10:15, 11:15, 12:15, 12:45, 15:45, 16:00,",–,,
web:swargate-bus-stand-time-table,html,Vairag,"11:00,",–,,
web:swargate-bus-stand-time-table,html,Vasai,"8:00 (Shivshahi), 11:30, 13:30, 14:00, 18:00, 23:30,","Panvel, Thane Railway Station",,
web:swargate-bus-stand-time-table,html,Vasmat / Basmat,"6:00, 7:00,","Kurkumbh, Indapur, Tembhurni, Barsh Yermala, Kalamb, Ambajogai, Parali Vaijnath, Gangakhed, Parbhani, Zero Fata",,
web:swargate-bus-stand-time-table,html,Velas,"09:30,","Chandani Chowk, Paud, Pirangut, Mul Mangaon, Lonere, Pimploli, Mandanga",,
web:swargate-bus-stand-time-table,html,Vengurla,"8:30 (Shivshahi), 20:00,","Satara, Umbraj, Karad, Kolhapur, Rank Radhanagari, Phonda, Karul, Kankaval Sindhudurgnagari, Kudal",,
web:swargate-bus-stand-time-table,html,Vengurla via Ajara,"08:00,","Satara, Umbraj, Karad, Kolhapur, Ajara Nipani, Uttur, Ajara, Amboli, Sawantw",,
web:swargate-bus-stand-time-table,html,Vijapur,"7:45, 9:00, 9:45,",–,,
web:swargate-bus-stand-time-table,html,Vijaydurg,"5:45, 8:15,","Sarata, Karad, Kolhapur, Rankala, Kharepatan, Mukteshwar, Katradevi",,
web:swargate-bus-stand-time-table,html,Vinhere,"5:30, 8:00, 13:00,",–,,
web:swargate-bus-stand-time-table,html,Vita,"00:30, 6:15, 6:45, 7:15, 8:15, 9:15, 9:30, 11:15, 11:30, 12:45, 13:30, 14:15, 15:15, 16:15, 19:00,","Satara, Karad, Kadegaon, Kadepur",,
web:swargate-bus-stand-time-table,html,Wada,"5:30, 10:00, 11:15, 11:30,","Panvel, Thane, Bhiwandi",,
web:swargate-bus-stand-time-table,html,Wai,"6:00 to 21:00 on Every 30 Minutes,","Katraj, Shivapur, Kapurhol, Shirwal",,
web:swargate-bus-stand-time-table,html,Walchandnagar,"6:00, 7:00, 22:30,","Hadapsar, Saswad, Jejuri, Morgaon Ganapati, Baramati,",,
web:kurundwad-bus-stand-time-table,html,Pune,"6:00, 6:40, 8:00, 9:00, 12:30, 13:30, 14:00, 16:00, 17:00",,,
web:kurundwad-bus-stand-time-table,html,Nashik,7:10,,,
web:kurundwad-bus-stand-time-table,html,Sangli,"6:30, 7:90, 7:30, 6:40, 8:90, 8:30, 8:40, 9:30, 9:40, 9:44, 10:90, 10:30, 11:90, 12:00, 13:10, 13:80, 13:40, 18:00, 18:04, 18:30, 18:40, 14:95, 14:30, 14:40, 16:10, 16:40, 19:70, 19:40, 12:90, 19:40, 20:30",,,
web:kurundwad-bus-stand-time-table,html,Jaysingpur,"7:30, 10:40, 12:40, 13:90, 13:80, 13:40, 14:40, 16:10, 11:20, 11:35, 11:40, Jaysingpur Station – 6:85, 8:00, 18:40, 21:30, 10:30 Panaji",,,
web:kurundwad-bus-stand-time-table,html,Hupari,"6:30, 7:90, 7:80, 8:90, 8:40, 9:30, 10:00, 10:30, 11:90, 11:40, 12:30, 13:00, 13:80, 14:20, 16:00, 17:80, 18:20, 19:30",,,
web:kurundwad-bus-stand-time-table,html,Takali,"6:20 Ankiwat, 7:80 Ankiwat, 10:40 Dattawad, 12:00 Ankiwat, 12:20 Dattawad, 14:10 Ankiwat, 17:10 Ankiwat, 18:20 Dattawad, 20:10 Dattawad",,,
web:kurundwad-bus-stand-time-table,html,Kolhapur,"7:10, 8:04 Jaysingpur, 8:20, 8:40, 13:10, 18:00, 18:10 Jaysingpur, 14:10, 16:00, 17:10, 18:80",,,
web:kurundwad-bus-stand-time-table,html,Khidrapur,"8:04, 10:00, 11:30, 18:10, 18:40, 20:95",,,
web:kurundwad-bus-stand-time-table,html,Bastawad,"7:00, 8:35, 9:80, 12:00, 13:10, 17:20",,,
web:kurundwad-bus-stand-time-table,html,Danwad,"10:10, 11:30, 13:10 Ankiwat, 17:35, 20:30 Takaliwadi, 21:00 Dattawad",,,
web:kurundwad-bus-stand-time-table,html,Kagwad,"8:15 Ichalkaranji, 10:10, 11:40, 13:00, 13:40",,,
web:kurundwad-bus-stand-time-table,html,Alas,"7:20, 10:00, 12:00, 12:40, 11:80",,,
web:kurundwad-bus-stand-time-table,html,Miraj (via Krishnaghat),"18:00, 6:00, 7:80, 7:30, 6:00, 9:30, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 18:00, 14:30, 14:00, 14:30, 16:00, 16:00, 17:80, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30",,,
web:kurundwad-bus-stand-time-table,html,Chikodi,"6:00, 8:40, 10:34, 10:44, 12:10, 13:04, 18:04, 18:34, 14:20, 16:04, 17:04, 17:34, 18:34",,,
web:kurundwad-bus-stand-time-table,html,Ichalkaranji,"6:40 (Shirdhon), 9:30, 10:10, 11:40, 18:30, 17:30, 19:20",,,
